WellID	Well Number	Membrane Area (# pixels)	Membrane Total intensity	Membrane Mean intensity	W_O Membrane Area (# pixels)	W_O Membrane Total intensity	W_O Membrane Mean intensity	Intensity Ratio
P24	384	427543.3333333333	70369314.33333333	163.94629358028763	295939.3333333333	45445843.666666664	153.802751112347	1.0659516321689926
B2	26	227658.33333333334	35645909.0	156.27919137531052	149072.0	21828188.333333332	146.50277425430167	1.0667319589732738
H20	188	7474.666666666667	1206137.0	159.46424686115554	5349.333333333333	794553.0	149.44855004733162	1.067017691443991
C2	50	213559.0	34641007.333333336	157.94022096334842	142095.0	20982070.333333332	147.88804120794563	1.0679715524886046
H17	185	351998.0	59135828.666666664	168.0247381307448	278096.6666666667	43730915.0	157.22637150707467	1.0686803779808924
E9	105	172742.66666666666	27841619.333333332	161.266011662841	134119.33333333334	20184563.333333332	150.5263715969347	1.0713472327271922
A9	9	144906.33333333334	23451763.0	161.43954522806482	113350.66666666667	17038227.666666668	150.66341197564918	1.071524553380998
O23	359	403821.0	67314600.33333333	166.77000838560886	275197.0	42836731.333333336	155.59316609980382	1.0718337608647655
A2	2	2614.5	364232.0	149.99940968237945	2029.0	271027.5	139.9050813324793	1.0721512632261823
E10	106	470503.6666666667	76108520.0	162.08304561537133	323363.3333333333	48713584.0	151.09830380200935	1.0726993059283827
P2	362	403018.3333333333	63282920.0	155.7507704571978	272470.0	39666897.0	145.1354487494062	1.0731407922686085
D2	74	183011.0	28997066.333333332	158.327053754621	124691.0	18281180.666666668	146.70181639757533	1.079243990582504
M24	312	391446.0	65294617.333333336	167.09830289351487	268195.0	41339953.333333336	154.11668695953392	1.0842323838520451
C10	58	439533.6666666667	72490987.33333333	163.79135746538432	312755.3333333333	46840841.0	150.90304351471542	1.0854079125939702
O22	358	325582.0	55174677.0	168.89717821441354	225636.66666666666	35071135.333333336	155.2899488032473	1.0876246628711728
D8	80	163168.33333333334	27053851.0	165.8834572257789	124087.33333333333	18912909.333333332	152.39216210332776	1.0885301116293862
P1	361	312356.0	48545605.333333336	155.16495136720206	219656.66666666666	31300321.666666668	142.53271209271864	1.0886269480809854
N1	313	533349.6666666666	87513728.33333333	161.83138827698176	338872.0	50556729.666666664	148.27835140877494	1.0914026676142607
F8	128	226893.66666666666	37758672.0	168.0597440895184	167570.0	25732222.0	153.9551712680798	1.0916148038761135
C9	57	377838.6666666667	62180181.333333336	165.00093414773713	288254.6666666667	43304509.333333336	151.09508665261617	1.0920337504229505
K1	241	536910.0	89628679.66666667	163.0421317385764	336180.0	50249008.666666664	149.20304859078274	1.092753353758541
D11	83	574916.0	96373349.66666667	167.4330419396215	412925.3333333333	62858901.0	153.16510054531258	1.093153997506683
H23	191	7731.0	1223143.6666666667	154.7486006307555	5370.333333333333	759764.0	141.50411653048295	1.0935978713906844
A11	11	527624.3333333334	87480680.66666667	165.18463769879685	394573.6666666667	59391332.666666664	151.03140016259076	1.0937105629754449
L5	269	929.5	136347.5	137.2864728492907	394.0	55052.5	125.49114598103161	1.0939932994957429
L1	265	680293.0	112414217.0	163.24959096175172	426192.0	63667576.666666664	149.1102614443258	1.0948246578100542
J17	233	462189.0	77313656.66666667	168.06402853091728	359062.0	54921634.666666664	153.46765869277928	1.0951103963041353
P22	382	502857.3333333333	84366197.33333333	167.57777683232044	340084.3333333333	51961891.333333336	152.93285715413194	1.0957604529903522
F2	122	226344.33333333334	36760298.0	161.778377271657	147496.33333333334	21735705.666666668	147.6075671512222	1.0960032767555674
J1	217	486313.6666666667	80176719.66666667	161.55318133403452	318195.6666666667	46933620.0	147.06682763063662	1.0985018439357437
F11	131	386008.6666666667	64732617.666666664	165.68238577950314	274493.3333333333	40982980.666666664	150.72349910860055	1.0992472093560162
C11	59	784617.6666666666	130497375.33333333	165.19888085964394	530305.6666666666	79241214.33333333	150.25487336573508	1.0994577224629092
O2	338	536573.3333333334	88637101.0	163.21651618216927	336538.3333333333	50020542.666666664	148.42462734409625	1.0996592620965835
M23	311	409854.6666666667	70347710.0	171.34084113172761	279236.0	43488376.0	155.78350135024212	1.0998651310738519
B11	35	553736.0	91332955.66666667	166.0091277641047	401918.3333333333	59825166.0	150.8745191727162	1.1003125555884152
C18	66	468306.6666666667	79899839.0	170.50282090810296	366662.6666666667	56805179.333333336	154.92575437158567	1.1005453650989239
M16	304	229834.66666666666	38313390.666666664	166.3830196407628	152801.66666666666	23091991.333333332	151.05898104558523	1.101444074950785
E2	98	86630.66666666667	14468429.666666666	166.6235344695141	60752.333333333336	9147864.666666666	150.83240307712086	1.1046932295066547
H9	177	375406.3333333333	61877200.0	164.9195652403679	282178.6666666667	42018824.0	149.14096364252183	1.105796564622353
B18	42	605785.0	103470593.33333333	170.89783445410663	461568.3333333333	71204292.0	154.53515727947115	1.1058832013549136
D18	90	512977.3333333333	88161741.66666667	171.95956534570476	394073.0	61134831.666666664	155.25243526987109	1.1076126763924323
G9	153	444165.0	75766201.33333333	168.4392655531272	310337.3333333333	46878998.666666664	152.06624981530913	1.1076702802739187
H18	186	484879.6666666667	84259288.33333333	175.04487316532982	396564.3333333333	62628414.333333336	157.97199298878638	1.1080753610404557
O16	352	209032.0	34541337.0	165.24746951070497	141957.0	21159261.0	148.97873747340248	1.1092017043049984
L23	287	370266.6666666667	62984645.0	170.0157989673983	258876.33333333334	39677630.666666664	153.25831549495004	1.1093414306318696
A8	8	180712.33333333334	29925415.0	165.55575931093009	141608.66666666666	21150950.333333332	149.21357885297806	1.1095220728808748
F9	129	295419.0	49714347.0	169.32642894463757	221390.33333333334	33813370.0	152.37906967252238	1.111218419357309
O21	357	471786.0	81676710.33333333	171.237277880277	311347.6666666667	48115378.0	154.02624751386898	1.1117408925050796
P16	376	293315.6666666667	48327671.333333336	164.80585583831808	200348.0	29672265.666666668	148.07292150420184	1.1130046882585578
E8	104	542479.6666666666	93046296.66666667	169.95083316630846	389725.3333333333	59074403.0	152.55630537210314	1.114020379241474
I6	198	3589.0	579194.6666666666	143.63463424364483	2314.6666666666665	327996.3333333333	128.8898830078389	1.1143980496507175
P21	381	417094.6666666667	73802230.0	177.25741078699616	296719.6666666667	47072217.666666664	158.94869023890047	1.1151863568084621
C8	56	391120.0	65846658.666666664	168.51739547232	286006.3333333333	43206617.333333336	151.0820579662957	1.1154030977650164
G2	146	537045.6666666666	82851550.33333333	159.47577343014072	341150.3333333333	46837902.666666664	142.74726614515316	1.1171896859164863
L24	288	584725.0	98759118.0	169.22880774130726	394038.3333333333	59701440.666666664	151.470548767512	1.1172390218315766
E18	114	533521.6666666666	92532647.33333333	173.8931799373036	404345.6666666667	62909972.0	155.4864603980226	1.1183814943896884
M1	289	570070.3333333334	95677804.33333333	166.2902996135559	373200.6666666667	55612935.666666664	148.6017809747781	1.1190330191384452
L12	276	1981.5	322603.5	156.19546440926808	1385.0	200320.5	139.5534689140594	1.1192517507784578
N20	332	423911.3333333333	73457697.33333333	173.06367616830684	286134.0	44217256.333333336	154.61015430277482	1.1193551739777343
F19	139	2753.0	427255.3333333333	143.21168882605772	1591.6666666666667	222412.66666666666	127.86344990428957	1.120036170878049
N2	314	450579.3333333333	74499348.66666667	165.88269514621004	299491.0	44160358.0	148.0854540861678	1.1201822364652128
H10	178	363462.0	61980009.0	170.38416582885495	260794.33333333334	39613513.0	152.09701764527685	1.1202334435394892
B4	28	1660.0	269841.0	164.64789539314495	1097.0	161468.0	146.64818645476123	1.1227407537285594
M21	309	369025.3333333333	64537135.333333336	174.57350404127962	248967.0	38716341.333333336	155.4820171391879	1.1227890353712158
F4	124	2445.5	367563.0	155.05338403257116	1411.0	194400.5	137.98841433736615	1.1236695832556136
I2	194	442125.3333333333	74571929.66666667	166.0634917016237	283791.0	42148516.0	147.78141408915928	1.1237102630607831
H2	170	457862.3333333333	76510683.66666667	164.65895179820538	293507.3333333333	43046472.0	146.40312933583186	1.1246955754647618
B10	34	655605.3333333334	109308874.0	166.99019012183442	456726.0	67048049.666666664	148.4401538732598	1.1249664310130862
N22	334	465838.3333333333	80572321.0	172.91173837189876	323621.0	49749813.666666664	153.69498864311296	1.1250317261378509
P3	363	431015.3333333333	72505978.33333333	166.8425772953351	284242.3333333333	42205936.666666664	148.21179436242514	1.1257037809511419
P11	371	446447.3333333333	75679236.33333333	167.9895352574308	327858.3333333333	49080071.666666664	149.18163867220144	1.1260738034025497
F10	130	464117.6666666667	79898520.0	170.13376881748567	330067.0	49762824.666666664	151.0447977739531	1.1263795332567512
G11	155	479497.6666666667	82040945.0	170.07453379016363	337715.0	50991111.666666664	150.6407412053334	1.1290075475554164
M2	290	406587.0	68444532.0	166.50369354058304	262951.0	38786241.666666664	147.36051609964423	1.129907100949581
L16	280	317170.6666666667	53700904.666666664	169.50262291106284	210839.33333333334	31589121.666666668	149.94349286922716	1.1304433401381022
P10	370	384397.0	65034320.333333336	169.0143747742037	304958.0	45613010.333333336	149.4794201807565	1.1306865826066541
L10	274	711085.3333333334	111597804.0	156.77046131270626	575232.3333333334	79936864.33333333	138.62281592251566	1.1309138417757607
N16	328	327921.3333333333	56965052.0	173.7566355366354	228828.66666666666	35162832.0	153.5808991634507	1.1313687866335016
J9	225	242209.33333333334	41257836.0	170.47310717389564	170894.66666666666	25738450.333333332	150.62562912662727	1.1317669387497336
