	Well ID	Well Number	Position	Membrane Area (# pixels)	Membrane Total intensity	Membrane Mean intensity	W_O Membrane Area (# pixels)	W_O Membrane Total intensity	W_O Membrane Mean intensity
14 - 2	14	278	2	265277	46823127	176.50654598777882	179964	26679941	148.25154475339514
14 - 3	14	278	3	432443	76116591	176.01531531323204	303842	45771421	150.64217915890495
15 - 1	15	279	1	1142242	199384482	174.55537618122955	685037	103720239	151.40822904456255
15 - 2	15	279	2	369878	65361798	176.71177523399606	247644	36778019	148.51164978759832
15 - 3	15	279	3	1164136	201701569	173.26289110550658	713827	107537721	150.64955654521333
16 - 1	16	280	1	224154	38909313	173.58295189914077	150785	22671282	150.35502205126505
16 - 2	16	280	2	504297	85146990	168.84294374148567	330745	49455966	149.52899061210297
16 - 3	16	280	3	223061	37046411	166.08197309256212	150988	22640117	149.94646594431345
17 - 1	17	281	1	1046743	177708095	169.77226045718916	747564	110850939	148.2828747772766
17 - 2	17	281	2	332231	58054183	174.74041555423787	263711	39360123	149.25476373757635
17 - 3	17	281	3	555835	96458540	173.5380823445807	437326	65858233	150.59299698622996
18 - 1	18	282	1	1040449	188106121	180.79321619800683	678732	103048736	151.82536848122675
18 - 2	18	282	2	712762	129208545	181.2786666517014	480275	73389266	152.80675862786944
18 - 3	18	282	3	258772	47232798	182.5266953147945	184163	27640787	150.08870945846886
19 - 1	19	283	1	1006522	182695383	181.5115645758364	622676	96353168	154.74045571051397
19 - 2	19	283	2	1072750	193945166	180.79251083663482	654033	101487712	155.17215797979614
19 - 3	19	283	3	373157	67746854	181.55053770932878	258230	39208668	151.83622352166674
20 - 1	20	284	1	355814	66087206	185.7352605574823	252051	39509095	156.75039972069143
20 - 2	20	284	2	365781	68446993	187.1256106796143	260096	41021934	157.71843473179135
20 - 3	20	284	3	443178	77561173	175.0113340463651	309098	45966431	148.71151220648468
21 - 1	21	285	1	246729	44852707	181.78935998605758	171271	26524501	154.86860589358386
21 - 2	21	285	2	223249	38391158	171.96564374308508	152072	23424803	154.03758088273975
21 - 3	21	285	3	576577	102269732	177.3739361785156	390517	59839500	153.23148544109475
22 - 1	22	286	1	414351	75935151	183.26286409348594	283324	44593719	157.39478123985262
22 - 2	22	286	2	662575	113364723	171.0971935252613	445934	67037295	150.33008247857308
22 - 3	22	286	3	714326	129969114	181.9464978175231	500710	77854049	155.48730602544387
23 - 1	23	287	1	389550	67152600	172.38505968425105	271722	41676245	153.37825056491562
23 - 2	23	287	2	344974	57891299	167.81351348217547	243418	37214069	152.8813358091842
23 - 3	23	287	3	376276	63910036	169.84882373576843	261489	40142578	153.51536011075035
24 - 1	24	288	1	680464	114990081	168.98775100519646	449018	68208769	151.9065360408714
