ORF	Gene	WellID	Unnamed: 0	Well Number	Position	Membrane Area (# pixels)	Membrane Total intensity	Membrane Mean intensity	W_O Membrane Area (# pixels)	W_O Membrane Total intensity	W_O Membrane Mean intensity
YDL137W	ARF2	F3	F3 - 2	123	2	138389	23418515	169.22237316549726	94129	13888707	147.54971369078604
YDL137W	ARF2	F3	F3 - 3	123	3	85380	14428886	168.996088076833	60109	8645633	143.83258746610323
YDR276C	PMP3	F4	F4 - 1	124	1	1842	321075	174.30781758957656	1224	170869	139.5988562091503
YDR276C	PMP3	F4	F4 - 2	124	2	3049	414051	135.79895047556576	1598	217932	136.377972465582
YDL138W	RGT2	F5	F5 - 1	125	1	166979	30309228	181.5152084992724	120558	17940679	148.81367474576552
YDL138W	RGT2	F5	F5 - 2	125	2	305748	54510597	178.28602967149416	212456	31257409	147.12415276574913
YDL138W	RGT2	F5	F5 - 3	125	3	142721	25373211	177.78190315370549	101483	14915535	146.9757003636077
YDR281C	PHM6	F6	F6 - 1	126	1	135989	23235616	170.8639375243586	97305	14108003	144.9874415497662
YDR281C	PHM6	F6	F6 - 2	126	2	1133823	195621115	172.53232206437866	710122	105617472	148.73144614587352
YDR281C	PHM6	F6	F6 - 3	126	3	848905	147993468	174.33454626842814	582746	86310192	148.10945420474786
YDL142C	CRD1	F7	F7 - 1	127	1	87090	15444710	177.34194511424965	60518	9245764	152.77709111338774
YDL142C	CRD1	F7	F7 - 2	127	2	230723	40782151	176.75806486566142	161523	24099969	149.20456529410671
YDL142C	CRD1	F7	F7 - 3	127	3	157878	27421023	173.68488959829742	115468	17527848	151.79831641666956
YDR284C	DPP1	F8	F8 - 1	128	1	124925	21357742	170.9645147088253	92003	14333665	155.79562622957948
YDR284C	DPP1	F8	F8 - 2	128	2	164948	27974339	169.59489657346558	122107	18678953	152.97200815678053
YDR284C	DPP1	F8	F8 - 3	128	3	390808	63943935	163.61982098626436	288600	44184048	153.09787941787943
YDL145C	COP1	F9	F9 - 1	129	1	420874	70475075	167.44934350898367	316646	48461675	153.0468567422295
YDL145C	COP1	F9	F9 - 2	129	2	156757	27279044	174.0212175532831	112779	17019034	150.90605520531304
YDL145C	COP1	F9	F9 - 3	129	3	308626	51388922	166.50872577164594	234746	35959401	153.18429707002463
YBL050W	SEC17	G1	G1 - 1	145	1	99039	14759959	149.0317854582538	66948	9654602	144.21046185098882
YBL050W	SEC17	G1	G1 - 2	145	2	141556	21649110	152.9367176241205	94153	14024285	148.952078000701
YBL050W	SEC17	G1	G1 - 3	145	3	304576	48729894	159.992560149191	199118	29420250	147.7528400245081
YBR290W	BSD2	G2	G2 - 1	146	1	291551	47384413	162.5252974608216	193942	28508581	146.99539553062257
YBR290W	BSD2	G2	G2 - 2	146	2	133830	22062191	164.85235746843009	89184	13177283	147.7538908324363
YBR290W	BSD2	G2	G2 - 3	146	3	1185756	179108047	151.04966536117044	740325	98827844	133.49251207240064
YBL058W	SHP1	G3	G3 - 1	147	1	511740	89723710	175.3306561925978	330632	49098837	148.4999546323405
YBL058W	SHP1	G3	G3 - 2	147	2	74331	13123819	176.55916104989842	49856	7370645	147.83867538510913
YBL058W	SHP1	G3	G3 - 3	147	3	1074130	188443756	175.43849999534507	679707	101235607	148.94006829413263
YBR293W	VBA2	G4	G4 - 1	148	1	118120	21073811	178.41018455807654	78518	11607771	147.8357956137446
YBR293W	VBA2	G4	G4 - 2	148	2	183882	32696964	177.8149247887232	121803	17885075	146.83607957111073
YBR293W	VBA2	G4	G4 - 3	148	3	183141	32681536	178.45013404972124	120808	17679783	146.34612773988476
YBL059W	YBL059W	G5	G5 - 1	149	1	403826	71353837	176.6945095164749	270829	39797357	146.9464385276318
YBL059W	YBL059W	G5	G5 - 2	149	2	1157035	203840973	176.17528683229116	694821	103177963	148.4957463864794
YBL059W	YBL059W	G5	G5 - 3	149	3	297655	52018812	174.76209705867532	203940	29858263	146.4070952240855
Control-his3d-SWAT	None	G6	G6 - 1	150	1	182835	32410162	177.26453906527743	127872	19236166	150.43297985485486
Control-his3d-SWAT	None	G6	G6 - 2	150	2	83176	14663103	176.29007165528515	57067	8284828	145.17721274992553
Control-his3d-SWAT	None	G6	G6 - 3	150	3	1121372	197304595	175.9492790973914	718838	107096074	148.98499244614226
YBL061C	SKT5	G7	G7 - 1	151	1	111285	19317571	173.5864761648021	78738	11887177	150.97128451319566
YBL061C	SKT5	G7	G7 - 2	151	2	816551	145024133	177.60572579055074	547913	81381532	148.53002575226358
YBL061C	SKT5	G7	G7 - 3	151	3	817881	142387083	174.09266506985736	571481	85445599	149.51608014964626
Control-his3d-GFPdC	None	G8	G8 - 1	152	1	3445	508847	147.70595065312045	2387	332573	139.32677000418937
Control-his3d-GFPdC	None	G8	G8 - 3	152	3	1004	118595	118.12250996015936	442	54361	122.98868778280544
YBL069W	AST1	G9	G9 - 1	153	1	159244	26443312	166.05531134611036	119152	18158781	152.40013596078958
YBL069W	AST1	G9	G9 - 2	153	2	1053285	180741210	171.59763027100928	721619	108650217	150.5645181182868
YBL069W	AST1	G9	G9 - 3	153	3	119966	20114082	167.66485504226196	90241	13827998	153.234095366851
YDL195W	SEC31	H1	H1 - 1	169	1	192712	29886644	155.08449914898915	126183	18678791	148.02937796692106
YDL195W	SEC31	H1	H1 - 2	169	2	174631	27104409	155.20960768706587	116683	17275295	148.05322969070045
YDL195W	SEC31	H1	H1 - 3	169	3	443929	70604404	159.04436069731872	298879	44251370	148.0578093475955
YDR326C	YSP2	H2	H2 - 1	170	1	246915	40829584	165.35886438652977	167046	24560748	147.02984806580224
YDR326C	YSP2	H2	H2 - 2	170	2	128512	20586626	160.19224663844622	84028	12222153	145.45333698291046
YDR326C	YSP2	H2	H2 - 3	170	3	998160	168115841	168.42574436964014	629448	92356515	146.72620295878292
YDL199C	YDL199C	H3	H3 - 1	171	1	220104	38022623	172.74844164576746	147691	22317047	151.10634364991773
YDL199C	YDL199C	H3	H3 - 2	171	2	172056	29178805	169.589000092993	114539	16812692	146.7857411012843
YDL199C	YDL199C	H3	H3 - 3	171	3	798780	140049633	175.3294186133854	515451	76904764	149.19898108646603
YDR329C	PEX3	H4	H4 - 1	172	1	320028	56908024	177.82201557363732	216356	32285775	149.22523526040416
YDR329C	PEX3	H4	H4 - 2	172	2	233836	40761249	174.31554166167743	151265	22114304	146.1957756255578
YDR329C	PEX3	H4	H4 - 3	172	3	148960	26568743	178.36159371643393	102635	15348833	149.54774686997612
YDL204W	RTN2	H5	H5 - 1	173	1	126741	22383519	176.6083508888205	89128	13331504	149.57705771474733
YDL204W	RTN2	H5	H5 - 2	173	2	546517	97210713	177.87317320412723	354956	52319879	147.39820991897588
YDL204W	RTN2	H5	H5 - 3	173	3	760182	134785811	177.30729088560372	489273	72387265	147.94861968675974
YDR338C	YDR338C	H6	H6 - 1	174	1	460806	83780717	181.8134247383932	315268	47063364	149.28049786213634
YDR338C	YDR338C	H6	H6 - 2	174	2	206221	36265173	175.85586821904656	145530	21400621	147.05298563869994
YDR338C	YDR338C	H6	H6 - 3	174	3	468166	82098316	175.361551244644	317631	47185076	148.5531198151314
YDL206W	YDL206W	H7	H7 - 1	175	1	906905	160027940	176.4550200958204	604812	91014067	150.48323611304008
YDL206W	YDL206W	H7	H7 - 2	175	2	413047	72096967	174.549063423775	290053	43805833	151.0269950664189
YDL206W	YDL206W	H7	H7 - 3	175	3	1033532	179631284	173.8033113633637	673364	100754393	149.6284223688822
YDR342C	HXT7	H8	H8 - 1	176	1	155966	26138441	167.5906351384276	109620	16443327	150.00298303229337
YDR342C	HXT7	H8	H8 - 2	176	2	557826	97475408	174.7416004273734	383564	57817955	150.7387424262965
YDR342C	HXT7	H8	H8 - 3	176	3	1061995	182223701	171.58621368273862	729120	109007806	149.50598804037745
YDL210W	UGA4	H9	H9 - 1	177	1	228129	37411439	163.99247355662806	171493	25625666	149.42689205973423
YDL210W	UGA4	H9	H9 - 2	177	2	264294	43930609	166.2187147646182	202141	30230030	149.549225540588
YDL210W	UGA4	H9	H9 - 3	177	3	633796	104289552	164.54750739985738	472902	70200776	148.44677332724328
YBL105C	PKC1	I1	I1 - 1	193	1	222091	34015865	153.16183456330964	151188	22008809	145.57245945445405
YBL105C	PKC1	I1	I1 - 2	193	2	134430	20802879	154.7487837536264	92343	13660849	147.93594533424297
YBL105C	PKC1	I1	I1 - 3	193	3	434637	69354466	159.56871136143494	302768	44213571	146.03118889710933
YCL002C	YCL002C	I2	I2 - 1	194	1	233521	38253650	163.8124622624946	154231	22770078	147.63619505806227
YCL002C	YCL002C	I2	I2 - 2	194	2	151613	24820243	163.70788125028855	99759	14629443	146.64785132168527
YCL002C	YCL002C	I2	I2 - 3	194	3	941242	160641896	170.6701315920879	597383	89046027	149.06019588773032
YBL106C	SRO77	I3	I3 - 1	195	1	175846	30137305	171.38464906793445	117206	17518624	149.46866201389008
YBL106C	SRO77	I3	I3 - 2	195	2	632003	110645212	175.07070694284678	412704	61095075	148.0360621656199
YBL106C	SRO77	I3	I3 - 3	195	3	150405	26245175	174.49669226421994	100212	14824524	147.9316249550952
YCL005W-A	VMA9	I4	I4 - 1	196	1	135115	23630675	174.89305406505568	88734	13147229	148.1645028962968
YCL005W-A	VMA9	I4	I4 - 2	196	2	227613	40227799	176.7377039097064	156282	23167961	148.24458990798684
YCL005W-A	VMA9	I4	I4 - 3	196	3	816307	144545669	177.07268098889267	525016	78314506	149.16594160939857
YBR002C	RER2	I5	I5 - 1	197	1	835006	140729728	168.5373853601052	564436	80239690	142.15905789141726
YBR002C	RER2	I5	I5 - 2	197	2	435795	75454114	173.14130267671726	302633	43407232	143.43191918924902
YBR002C	RER2	I5	I5 - 3	197	3	433669	72334049	166.7955260809511	315620	44916174	142.3109245294975
YCL007C	YCL007C	I6	I6 - 1	198	1	563	57509	102.1474245115453	86	8752	101.76744186046513
YCL007C	YCL007C	I6	I6 - 2	198	2	3798	620290	163.32016850974196	2875	413939	143.97878260869564
YCL007C	YCL007C	I6	I6 - 3	198	3	6406	1059785	165.43630970964722	3983	561298	140.92342455435602
YBR004C	GPI18	I7	I7 - 1	199	1	507410	89235683	175.86504601801306	351753	52852618	150.25491751314132
YBR004C	GPI18	I7	I7 - 2	199	2	386515	68605406	177.4973959613469	261344	38494062	147.2926946859312
YBR004C	GPI18	I7	I7 - 3	199	3	1143333	198211346	173.36274383753465	727264	109833774	151.02325152901835
YCL008C	STP22	I8	I8 - 1	200	1	271556	46718981	172.04179248479136	194040	29008578	149.49792826221395
YCL008C	STP22	I8	I8 - 2	200	2	986179	171246382	173.64634817817048	650610	97154527	149.3283641505664
YCL008C	STP22	I8	I8 - 3	200	3	203324	33953021	166.98973559442072	149514	22229511	148.67845820458285
YBR005W	RCR1	I9	I9 - 1	201	1	778853	134852052	173.14185346913987	543805	81396437	149.67945679057752
YBR005W	RCR1	I9	I9 - 2	201	2	1139101	199565821	175.1958965886256	761722	113948708	149.59356300592606
YBR005W	RCR1	I9	I9 - 3	201	3	1252431	212846006	169.94629324888956	793113	118081875	148.8840493094931
YDL234C	GYP7	J1	J1 - 1	217	1	289320	46389474	160.33967233513064	193795	28529188	147.21323047550246
YDL234C	GYP7	J1	J1 - 2	217	2	152296	23908443	156.9866772600725	106168	15520827	146.19119697083866
YDL234C	GYP7	J1	J1 - 3	217	3	1017325	170232242	167.33319440690045	654624	96750845	147.79605544556875
YDR371W	CTS2	J2	J2 - 1	218	1	829596	144026617	173.61054899011086	533743	80021218	149.92462289903568
YDR371W	CTS2	J2	J2 - 2	218	2	178122	30238952	169.76539675054175	118748	17821207	150.07584969852124
YDR371W	CTS2	J2	J2 - 3	218	3	1035474	177871155	171.77751928102492	644808	96526224	149.6976216175978
YDL241W	YDL241W	J3	J3 - 1	219	1	252168	41961984	166.40487294184828	183770	26145931	142.27529520596397
YDL241W	YDL241W	J3	J3 - 2	219	2	137627	23916072	173.77456458398424	96918	13867403	143.0838750283745
YDL241W	YDL241W	J3	J3 - 3	219	3	173300	29438129	169.86802654356606	126361	18035095	142.72675113365673
YDR372C	VPS74	J4	J4 - 1	220	1	291689	51131201	175.2935523794178	193361	28353510	146.63510221813087
YDR372C	VPS74	J4	J4 - 2	220	2	217396	37070633	170.5212285414635	149167	21582163	144.68456830264066
YDR372C	VPS74	J4	J4 - 3	220	3	378447	66215450	174.96624362196027	262025	38590004	147.27603854594028
YDL245C	HXT15	J5	J5 - 1	221	1	379263	67199739	177.18506419028483	248459	36624533	147.40674718967716
YDL245C	HXT15	J5	J5 - 2	221	2	441508	78981281	178.88980720621143	293843	43119028	146.7417226205831
YDL245C	HXT15	J5	J5 - 3	221	3	329577	57903023	175.68890729632224	219594	32444125	147.7459538967367
YDR373W	FRQ1	J6	J6 - 1	222	1	317648	48511687	152.7215250843701	243413	37322478	153.32984680358075
YDR373W	FRQ1	J6	J6 - 2	222	2	550732	82729781	150.21785732443365	399338	59929120	150.07116778268033
