ORF	Gene	Total Intensity 488nm	Mean Intensity 488nm	Total Intensity 561nm	Mean Intensity 561nm	Cell Count
YEL015W	EDC3	253937.49946452808	238.94047373843307	148664.58894756323	140.2093015700185	3242
YIL134W	FLX1	258647.15679123264	238.94384981987847	114865.31052604166	106.83822264322916	4608
YCR042C	TAF2	266685.76975081966	238.9667634613583	116809.6561854801	105.25139790163934	2135
YMR087W	YMR087W	269783.7993444577	238.97046473182357	167677.50363766387	147.22153305721096	1678
YHL034C	SBP1	272853.8202078853	238.97862355734765	298166.2724707288	259.01488415471925	3348
YGR281W	YOR1	253223.43817161996	238.98580239012136	133405.59793595647	124.87835161783173	4778
YKL181W	PRS1	233527.71151201203	238.98653004004004	187903.18793793794	192.02645986236237	3996
YDL208W	NHP2	235694.09093624353	238.98849008041356	169898.0444974153	172.9619035152211	3482
YCR054C	CTR86	225738.82296232285	238.98858048392674	123990.38192257173	130.21462354994816	2893
YBL106C	SRO77	259578.7583842962	238.98931120970317	128769.45808617938	119.30611001915096	3133
YJL162C	JJJ2	266030.0761537433	238.99353939171124	129820.54607754012	116.69187881016042	1496
YNR069C	BSC5	242874.1082972756	238.99896358173078	115461.03766586538	113.12220404647437	2496
YDR002W	YRB1	275596.34226223774	239.00576825174826	311256.9379335664	265.05397888986016	2288
YBL063W	KIP1	231838.57331031645	239.00605708179202	111777.80559145089	113.74992291409784	2433
YPL217C	BMS1	315221.3683913273	239.00712722369119	153226.01955367532	117.33634369116871	1891
YBL071C-B	YBL071C-B	296606.4533110893	239.00904693817466	127989.49231076219	104.86351934249265	3057
YHL031C	GOS1	251820.6190211022	239.0212342491293	167146.7694771563	159.06917894898586	4881
YOL067C	RTG1	271755.1366263345	239.03029683528217	133300.33660854094	117.96073923995934	3934
YOL073C	DSC2	263907.06018581765	239.03382882489146	135100.27787612154	123.77514244283647	3455
YPR067W	ISA2	233876.36887856977	239.0387302646854	207785.9286779661	214.77086169955888	4307
YMR127C	SAS2	265855.57438107417	239.0451097186701	122519.61180946292	111.92335207800512	1564
YLR307C-A	YLR307C-A	247615.4778479048	239.04717236420072	140709.39099327472	134.9384062286601	1933
YCR077C	PAT1	270070.33626511047	239.0549541809087	137650.726099208	121.90348745310546	2399
YDR346C	SVF1	284026.4457257955	239.05955732904536	215331.16613744074	180.30911045023697	2954
YPR161C	SGV1	256744.20954834	239.0617239036848	133321.05645749727	124.26822355344764	2741
YLR027C	AAT2	266209.04889377084	239.0753739182425	215555.69988431592	192.72446609010012	3596
YFL011W	HXT10	245921.54670177563	239.08710191485068	160728.2904047619	154.2352309543987	4956
YDR395W	SXM1	231450.82952849162	239.09180067039105	166895.87382420857	169.27784100931098	2685
YHR100C	GEP4	249463.7509810017	239.09198924870464	155129.49521588947	149.0444626986183	2316
YDR186C	YDR186C	264573.4921931034	239.09410373399015	113195.14977142858	103.68862696305418	4060
YJL020C	BBC1	254154.373063479	239.09647891591095	160660.75883924155	151.5844419950536	2426
YPL108W	YPL108W	267235.14276917145	239.1220178381503	127390.43547206167	114.04017652408479	2595
YLR210W	CLB4	299647.48826122447	239.13532555102043	132502.40086693878	106.22753189387755	1225
YAL012W	CYS3	264705.023135906	239.13596450503354	250204.97948378074	223.25844708612976	3576
YPL172C	COX10	273520.7782535849	239.1405938490566	161363.28872150942	142.03332650943395	2650
YER064C	VHR2	276448.94120621827	239.14702144987308	117328.24426713199	102.46046407994923	3152
YMR298W	LIP1	265152.04079595016	239.1547721261682	256327.99111370713	231.5293698753894	2568
YMR093W	UTP15	263454.4362501862	239.15953994043187	120208.55659940433	109.38945569620252	2686
YER150W	SPI1	260731.37055151517	239.1641832242424	125166.54236848485	113.65299387878788	1650
YLL039C	UBI4	240030.37034650455	239.17568184107685	140081.8140269214	137.76419858445504	2303
YOL104C	NDJ1	261124.04088985507	239.17787652173914	142619.8361695652	129.98363774275361	2760
YDR256C	CTA1	259425.71778419713	239.1798671537808	141563.03823959216	130.17072192863213	1177
YHR127W	YHR127W	252327.33865849674	239.1864556781046	152706.37484477126	144.42329917483661	2448
YMR214W	SCJ1	253057.96443615624	239.18731017990345	126745.52570250108	119.63574827117158	2279
YEL025C	YEL025C	246981.08367299478	239.1935886473659	110368.90365306124	107.04399672994779	4214
YLR182W	SWI6	249902.69512904427	239.19441491260693	112976.69057716624	107.3593101636296	2689
YER024W	YAT2	229655.74006208053	239.20207083473156	128595.57842533558	132.7319389135906	2384
YLR095C	IOC2	255255.77678740918	239.2057278062954	123146.39809878934	115.02709055690073	2065
YBR251W	MRPS5	229199.77670997567	239.21589483698298	188583.28735571774	186.94373983698296	4110
YKL189W	HYM1	217082.69413345197	239.2190427891459	110733.02314323843	122.49945484875445	2248
YGR005C	TFG2	280132.74974554166	239.22351658237955	151543.26544636677	130.31015917221188	3757
YJR061W	YJR061W	255789.31228177965	239.22830668961865	167683.26749258477	155.24486158898304	1888
